redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
1.000000000000000000e+00,4.000000000000000000e+00,1.540000000000000000e+02,3.279270545513030943e-03,5.830813190154877750e-03
1.000000000000000000e+00,4.000000000000000000e+00,1.580000000000000000e+02,2.233237159275976418e-03,5.937405686875082619e-03
2.000000000000000000e+00,0.000000000000000000e+00,4.200000000000000000e+01,8.782790137677682143e-03,7.040637650643415124e-02
2.000000000000000000e+00,0.000000000000000000e+00,4.600000000000000000e+01,-7.014416123659651670e-02,6.848342185776976065e-02
2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01,-9.756913926069595011e-02,6.234410871178295427e-02
2.000000000000000000e+00,0.000000000000000000e+00,5.400000000000000000e+01,-5.477189701263388694e-02,6.273500763981852690e-02
2.000000000000000000e+00,0.000000000000000000e+00,5.800000000000000000e+01,-5.147762934870692142e-02,5.636184438845839167e-02
2.000000000000000000e+00,0.000000000000000000e+00,6.200000000000000000e+01,-5.421266407259546505e-02,5.438593436108760115e-02
2.000000000000000000e+00,0.000000000000000000e+00,6.600000000000000000e+01,-1.783953779143572158e-02,5.266177525205836818e-02
2.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+01,9.828560513550139988e-03,4.769389749676259532e-02
2.000000000000000000e+00,0.000000000000000000e+00,7.400000000000000000e+01,-3.126864822939397909e-02,4.698708321687461442e-02
2.000000000000000000e+00,0.000000000000000000e+00,7.800000000000000000e+01,1.399028228272721462e-02,3.988085125158181282e-02
2.000000000000000000e+00,0.000000000000000000e+00,8.200000000000000000e+01,-3.328285704258179822e-04,3.929028056102089328e-02
2.000000000000000000e+00,0.000000000000000000e+00,8.600000000000000000e+01,2.079887352212948445e-02,3.575917602553099761e-02
2.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+01,1.293413983121793724e-02,3.392982756474497569e-02
2.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,3.840258488476255838e-02,3.559796584711355516e-02
2.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,6.028800375844600018e-02,3.560379897484647338e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000000e+02,4.098864058136544863e-02,3.259255733505057873e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,4.001816639216091570e-02,3.338124087018583264e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+02,3.732711751335977823e-02,3.096177396910828467e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.140000000000000000e+02,1.707019222605935319e-02,3.315831437275582744e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,5.486459140333415849e-03,3.070699620498183041e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.220000000000000000e+02,1.179802016671298998e-02,2.757246266211383495e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.260000000000000000e+02,1.866135703611550983e-02,2.780772951166260096e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,1.645940672110936601e-02,2.504099083521537511e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,2.226048408915962812e-02,2.678047693656559688e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,4.880476542097712117e-02,2.661811729504686558e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,1.194843831867720141e-02,2.432664319028695135e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.460000000000000000e+02,8.826723811653853363e-03,2.151242132793078007e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,2.499988976048863470e-02,2.206897509831314344e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.540000000000000000e+02,-1.675660761290446651e-02,2.166951474804321501e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000000e+02,-2.248182344414422634e-02,2.118833394713652216e-02
2.000000000000000000e+00,2.000000000000000000e+00,4.200000000000000000e+01,1.272281955631574812e-01,1.272917278507303684e-01
2.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,6.225214508806482805e-03,1.212940138263337714e-01
2.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,3.066913202490192253e-02,1.151088411101573727e-01
2.000000000000000000e+00,2.000000000000000000e+00,5.400000000000000000e+01,1.101627914707805078e-01,1.156734501117015756e-01
2.000000000000000000e+00,2.000000000000000000e+00,5.800000000000000000e+01,8.581696150755419028e-02,9.782205590313286514e-02
2.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01,-1.799627709430733774e-02,1.104966192788660040e-01
2.000000000000000000e+00,2.000000000000000000e+00,6.600000000000000000e+01,-6.148076207510965591e-02,9.886737635187436979e-02
2.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+01,-1.178352946037364291e-01,8.783263774719025918e-02
2.000000000000000000e+00,2.000000000000000000e+00,7.400000000000000000e+01,3.333739497225503279e-02,9.348394081840735725e-02
2.000000000000000000e+00,2.000000000000000000e+00,7.800000000000000000e+01,3.909209324207513214e-02,7.286675310358016466e-02
2.000000000000000000e+00,2.000000000000000000e+00,8.200000000000000000e+01,2.850523591572479143e-02,8.028273653191449200e-02
2.000000000000000000e+00,2.000000000000000000e+00,8.600000000000000000e+01,-1.962169166807735746e-03,8.014221191980412662e-02
2.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+01,-1.019091751316803136e-02,8.441365039353736222e-02
2.000000000000000000e+00,2.000000000000000000e+00,9.400000000000000000e+01,8.080243453818872212e-04,7.518299442341894179e-02
2.000000000000000000e+00,2.000000000000000000e+00,9.800000000000000000e+01,5.802207534495198993e-02,7.166341093756517511e-02
2.000000000000000000e+00,2.000000000000000000e+00,1.020000000000000000e+02,8.387310674403361532e-02,7.276926402149865025e-02
2.000000000000000000e+00,2.000000000000000000e+00,1.060000000000000000e+02,1.585928868561872762e-01,7.476066456880237077e-02
2.000000000000000000e+00,2.000000000000000000e+00,1.100000000000000000e+02,1.788945509951564983e-01,7.548227202242303868e-02
2.000000000000000000e+00,2.000000000000000000e+00,1.140000000000000000e+02,9.776780657098112226e-02,7.348971901121728600e-02
