order,ell,s_Mpc_h,s2_measurement,s2_jackknife_sigma,s2_model
1.000000000000000000e+00,2.000000000000000000e+00,8.400000000000000000e+01,2.297672984944640717e+01,4.919903426108808020e+01,6.567324841812285285e+01
1.000000000000000000e+00,2.000000000000000000e+00,9.200000000000000000e+01,1.359515454513009836e+01,5.817210573541440510e+01,6.375340384406985095e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+02,-2.321490755288929009e+00,6.516969534684038479e+01,4.988635803093983867e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.080000000000000000e+02,2.704569603882602280e+01,7.217503086633107046e+01,3.474609505312903224e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.160000000000000000e+02,-4.425744278633494133e+01,7.394628602575434684e+01,2.519963575167612291e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.240000000000000000e+02,9.908005801154597947e+00,7.905393789888192657e+01,1.860907449216161780e+01
1.000000000000000000e+00,2.000000000000000000e+00,1.320000000000000000e+02,1.894545130974387348e+01,8.878198540030945196e+01,7.945864436471900660e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.400000000000000000e+02,2.862270510129094703e+01,1.012807200794638050e+02,-9.877485633611719607e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.480000000000000000e+02,-2.370798279256037588e+01,1.045677347541406448e+02,-3.425152039770490831e+01
2.000000000000000000e+00,0.000000000000000000e+00,5.200000000000000000e+01,-2.014954610978222149e+02,1.602395149101290883e+02,-2.206077861052588958e+02
2.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+01,-1.903261645787993075e+02,1.873739878698876282e+02,-1.445395526402965913e+02
2.000000000000000000e+00,0.000000000000000000e+00,6.800000000000000000e+01,-1.500812125246988948e+01,2.188804283278636831e+02,-7.037281515556129818e+01
