z,DM_over_rd,DM_over_rd_jk_sigma,DH_over_rd,DH_over_rd_jk_sigma,dDM_over_rd_dz,dDM_over_rd_dz_jk_sigma,dDH_over_rd_dz,dDH_over_rd_dz_jk_sigma,d2DM_over_rd_dz2,d2DM_over_rd_dz2_jk_sigma,d2DH_over_rd_dz2,d2DH_over_rd_dz2_jk_sigma,S2,S2_formal_sigma,S1_pivot,S1_pivot_formal_sigma,S0_pivot,S0_pivot_formal_sigma
5.477777777777778079e-01,1.385310716782169749e+01,2.918752579808967518e-01,2.237253411118848589e+01,7.258835433960819650e-01,1.625266616347308002e+01,2.092173452022383362e+00,-9.369654482448977473e-02,6.992084750454846898e+00,1.894677725985245864e+00,5.526421787958581966e+00,-6.200944329909241048e+01,3.137278224619150890e+01,-2.479066381464052782e+00,5.043921770144177419e-01,2.519958495945325172e+00,9.468558970617471093e-01,6.227889146635761097e-01,2.294823512057160564e-01
5.516666666666667496e-01,1.391632761067862667e+01,2.899550798478517377e-01,2.237170097213580178e+01,7.175077837939861647e-01,1.626103706787508330e+01,2.075645036251333675e+00,-3.347390675191098675e-01,6.878265722470191079e+00,2.409920212512409510e+00,5.645553824014319488e+00,-6.195405435181804421e+01,3.157269836197440682e+01,-2.494860362030347556e+00,5.071087154131637131e-01,2.491907954402584391e+00,9.273863979234041599e-01,6.391141021087441976e-01,2.193364902738973998e-01
5.555555555555555802e-01,1.397958449597663488e+01,2.882288460265028940e-01,2.236993088289412412e+01,7.100389774791291408e-01,1.627140663337768345e+01,2.058729147779795987e+00,-5.755518720666377153e-01,6.763915722985018419e+00,2.922576617843582802e+00,5.764512225291607450e+00,-6.189130606683234959e+01,3.176480990166895424e+01,-2.511333063758990125e+00,5.101556814435546094e-01,2.463940217478229666e+00,9.081012543022324301e-01,6.549758475035644123e-01,2.094989599708145522e-01
5.594444444444444109e-01,1.404288557298093565e+01,2.866947585243265206e-01,2.236722479240691897e+01,7.034566908430456289e-01,1.628376499246460440e+01,2.041435453994395299e+00,-8.161063808385534690e-01,6.649079167150537373e+00,3.432743519460562887e+00,5.883296952956628800e+00,-6.182122027059418201e+01,3.194908410427622059e+01,-2.528514006267438941e+00,5.135547343590167735e-01,2.436048015522286114e+00,8.889922124574037854e-01,6.703829995759900129e-01,1.999625010436916206e-01
5.633333333333333526e-01,1.410623856213114813e+01,2.853504535482611071e-01,2.236358376058454667e+01,6.977368095489261401e-01,1.629810264848514478e+01,2.023773769102402031e+00,-1.056374103615656423e+00,6.533801517300288353e+00,3.940516698948650642e+00,6.001913325514427910e+00,-6.174382008882100337e+01,3.212549097508503593e+01,-2.546434329661406704e+00,5.173290191388042469e-01,2.408224072254824932e+00,8.700510737821662843e-01,6.853441640111914701e-01,1.907200917702085718e-01
5.672222222222222943e-01,1.416965114283049409e+01,2.841930096050770405e-01,2.235900895795455767e+01,6.928517082447387399e-01,1.631441047745760287e+01,2.005754082709066743e+00,-1.296326642626778325e+00,6.418129355621858601e+00,4.445991134937372635e+00,6.120371343656925589e+00,-6.165912993928201757e+01,3.229400326452899606e+01,-2.565126907397913936e+00,5.215032785223553402e-01,2.380461101634493648e+00,8.512696904581249502e-01,6.998677097433461114e-01,1.817649404861687856e-01
5.711111111111111249e-01,1.423313095971632158e+01,2.832189615305717445e-01,2.235350166529235238e+01,6.887704844464367371e-01,1.633267972325894490e+01,1.987386593600153795e+00,-1.535935697558979740e+00,6.302110465091215197e+00,4.949261037142026254e+00,6.238685116747239690e+00,-6.156717552431818774e+01,3.245459644784926923e+01,-2.584626468709077418e+00,5.261039760768437823e-01,2.352751804713825390e+00,8.326399612961296048e-01,7.139617750524815953e-01,1.730904787094701969e-01
5.750000000000000666e-01,1.429668562408491717e+01,2.824243197604818234e-01,2.234706327323256403e+01,6.854592495093325688e-01,1.635290199467936390e+01,1.968681745331062549e+00,-1.775173070538163644e+00,6.185793919595147017e+00,5.450419869329044431e+00,6.356872361561736184e+00,-6.146798382309157915e+01,3.260724870543117504e+01,-2.604969731545124567e+00,5.311594298396031810e-01,2.325088866479381178e+00,8.141538265855554624e-01,7.276342734725639305e-01,1.646903537497699244e-01
5.788888888888888973e-01,1.436032271530497084e+01,2.818045946085261932e-01,2.233969528186100106e+01,6.828814672988341439e-01,1.637506926256559936e+01,1.949650264619351647e+00,-2.014010671078909187e+00,6.069230184275829387e+00,5.949560372039411682e+00,6.474953966253781168e+00,-6.136158308356463209e+01,3.275194090369405586e+01,-2.626195547106533912e+00,5.366999597097449337e-01,2.297464952674937777e+00,7.958032653480879848e-01,7.408928995166458309e-01,1.565584236438780363e-01
5.827777777777778390e-01,1.442404978222022827e+01,2.813548250971866227e-01,2.233139930028744402e+01,6.809983294813404253e-01,1.639917385705221875e+01,1.930303202803341334e+00,-2.252420521002749254e+00,5.952471227252360997e+00,6.446774585077299946e+00,6.592953610548971000e+00,-6.124800281421137527e+01,3.288865657642838869e+01,-2.648345057161418659e+00,5.427580491211586589e-01,2.269872706605728041e+00,7.775802896105552531e-01,7.537451342248694397e-01,1.486887495367634482e-01
5.866666666666666696e-01,1.448787434454143153e+01,2.810696117858407228e-01,2.232217704619943888e+01,6.797691553799577457e-01,1.642520846487985153e+01,1.910651980652789295e+00,-2.490374759323542353e+00,5.835570644008278407e+00,6.942153869770236518e+00,6.710897434506336801e+00,-6.112727377546272578e+01,3.301738190648325144e+01,-2.671461865487421150e+00,5.493685235119409871e-01,2.242304745921845033e+00,7.594769407244552628e-01,7.661982505407940458e-01,1.410755903380310761e-01
5.905555555555556113e-01,1.455180389422807785e+01,2.809431529616187584e-01,2.231203034539704433e+01,6.791518041033316466e-01,1.645316612679965473e+01,1.890708436842418960e+00,-2.727845647099179427e+00,5.718583795882269172e+00,7.435788931008061375e+00,6.828813749301538394e+00,-6.099942797088649371e+01,3.313810570771781983e+01,-2.695592224940223769e+00,5.565687472711424721e-01,2.214753659378900785e+00,7.414852852181533782e-01,7.782593185213386722e-01,1.337133966071308855e-01
5.944444444444444420e-01,1.461584589686018631e+01,2.809692835035683123e-01,2.230096113130887403e+01,6.791030871135362856e-01,1.648304023506293703e+01,1.870484880425181906e+00,-2.964805572248366605e+00,5.601567964262641475e+00,7.927769839066938218e+00,6.946732784436767894e+00,-6.086449863810519645e+01,3.325081940713887718e+01,-2.720785241836083834e+00,5.643988425298350764e-01,2.187212003573918206e+00,7.235974102825041276e-01,7.899352103855247220e-01,1.265968054306187418e-01
5.983333333333333837e-01,1.468000779300053438e+01,2.811415157014374167e-01,2.228897144448942669e+01,6.795791704479015038e-01,1.651482453099535519e+01,1.849994147669363764e+00,-3.201227054331729605e+00,5.484582522264338955e+00,8.418186051225138300e+00,7.064686466586930891e+00,-6.072252023945275567e+01,3.335551702715555678e+01,-2.747093099547384121e+00,5.729019325732432888e-01,2.159672299654531002e+00,7.058054194766899547e-01,8.012326054069092152e-01,1.197206343505378412e-01
