redshift_derivative_order,ell,s_Mpc_h,value,jackknife_sigma
2.000000000000000000e+00,0.000000000000000000e+00,9.400000000000000000e+01,-6.036385594823460467e-03,1.265945007301984976e-02
2.000000000000000000e+00,0.000000000000000000e+00,9.800000000000000000e+01,-4.571854476404985969e-04,1.320299605669864561e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.020000000000000000e+02,7.988682974893033042e-03,1.373887766325873096e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.060000000000000000e+02,2.323507489555085969e-03,1.208488747892431416e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+02,-6.499159252213785459e-03,1.147792393245695985e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.140000000000000000e+02,1.214945093836167223e-02,1.067047562740721517e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.180000000000000000e+02,2.015072534467020251e-03,1.138356040438057853e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.220000000000000000e+02,9.613924476098194977e-03,1.038373616502229375e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.260000000000000000e+02,-4.060700271938881556e-03,9.892662034518115780e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+02,-1.423176671255388902e-02,9.209006316234332606e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.340000000000000000e+02,5.592028562731785404e-03,1.045865746196008791e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.380000000000000000e+02,3.363415853763990736e-03,1.056699519781333953e-02
2.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+02,1.468134923155483586e-02,9.180238284397408688e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.460000000000000000e+02,-9.819268375169104904e-03,9.213116409049612252e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+02,-2.900203062935198788e-03,9.000647635452883530e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.540000000000000000e+02,-4.067229551795398766e-03,8.518119662697068439e-03
2.000000000000000000e+00,0.000000000000000000e+00,1.580000000000000000e+02,-1.784612794809982764e-02,9.482366601532352460e-03
2.000000000000000000e+00,2.000000000000000000e+00,4.200000000000000000e+01,8.851752561593015378e-02,5.122245185714868060e-02
2.000000000000000000e+00,2.000000000000000000e+00,4.600000000000000000e+01,-3.781307572345804502e-02,4.919348132956090358e-02
2.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+01,2.597139078608665108e-02,4.986908089532295085e-02
2.000000000000000000e+00,2.000000000000000000e+00,5.400000000000000000e+01,4.773860686678863680e-02,4.475091035077928547e-02
2.000000000000000000e+00,2.000000000000000000e+00,5.800000000000000000e+01,1.181382055197466308e-02,4.709966203436943138e-02
2.000000000000000000e+00,2.000000000000000000e+00,6.200000000000000000e+01,7.736195296163955737e-03,4.270458208107053705e-02
2.000000000000000000e+00,2.000000000000000000e+00,6.600000000000000000e+01,-4.149386692815802691e-02,3.662084032092208230e-02
2.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+01,3.431922733145455207e-02,3.684861969376766050e-02
2.000000000000000000e+00,2.000000000000000000e+00,7.400000000000000000e+01,-4.787070101059401339e-02,3.253852733418116649e-02
2.000000000000000000e+00,2.000000000000000000e+00,7.800000000000000000e+01,1.570874389285930109e-02,3.633367443003367170e-02
2.000000000000000000e+00,2.000000000000000000e+00,8.200000000000000000e+01,-2.058884552628685929e-02,2.918323789041287961e-02
2.000000000000000000e+00,2.000000000000000000e+00,8.600000000000000000e+01,-2.183979702219431343e-02,3.002633383027952796e-02
2.000000000000000000e+00,2.000000000000000000e+00,9.000000000000000000e+01,7.467362386717750662e-03,2.785883082694591215e-02
2.000000000000000000e+00,2.000000000000000000e+00,9.400000000000000000e+01,-1.276879671393969795e-03,2.687002420701717006e-02
2.000000000000000000e+00,2.000000000000000000e+00,9.800000000000000000e+01,-1.254828081350542641e-02,2.903372341594895670e-02
2.000000000000000000e+00,2.000000000000000000e+00,1.020000000000000000e+02,-3.070191335265427812e-02,2.650966411961936872e-02
2.000000000000000000e+00,2.000000000000000000e+00,1.060000000000000000e+02,1.600132645170757387e-02,2.570364858618054762e-02
